Hiragana,Romaji,Meaning,Example 1 JP,Example 1 EN,Example 2 JP,Example 2 EN
走る,hashiru,to run,毎朝走ります。,I run every morning.,バスに乗るために走りました。,I ran to catch the bus.
働く,hataraku,to work,会社で働いています。,I work at a company.,一日中働きました。,I worked all day long.
引く,hiku,to pull,ドアを引いてください。,Please pull the door.,荷物を引きずりました。,I dragged the luggage.
弾く,hiku,to play (instrument),ピアノを弾きます。,I play the piano.,ギターを弾けますか。,Can you play the guitar?
行く,iku,to go,学校に行きます。,I go to school.,明日どこに行きますか。,Where are you going tomorrow?
意味する,imi suru,to mean,この言葉は何を意味しますか。,What does this word mean?,赤は危険を意味します。,Red means danger.
入れる,ireru,to put in,袋にりんごを入れます。,I put apples in the bag.,コーヒーに砂糖を入れます。,I put sugar in my coffee.
居る,iru,to exist (animate),猫が庭にいます。,There is a cat in the garden.,兄は部屋にいます。,My older brother is in the room.
要る,iru,to need,お金が要ります。,I need money.,手伝いが要りますか。,Do you need help?
言う,iu,to say,「こんにちは」と言います。,"I say ""hello.""",何も言わないでください。,Please don't say anything.
授業する,jugyou suru,to teach a class,先生が英語を授業します。,The teacher teaches an English class.,今日は数学を授業しました。,I taught math today.
被る,kaburu,to put on (head),帽子を被ります。,I put on a hat.,雨なので帽子を被りました。,I put on a hat because it's raining.
帰る,kaeru,to return,六時に家に帰ります。,I return home at six o'clock.,故郷に帰りたいです。,I want to return to my hometown.
返す,kaesu,to return (something),本を図書館に返します。,I return the book to the library.,借りたお金を返しました。,I returned the money I borrowed.
かかる,kakaru,to take (time/money),東京まで二時間かかります。,It takes two hours to Tokyo.,この車は百万円かかりました。,This car cost one million yen.
かける,kakeru,to hang; to put on; to call,壁に絵をかけました。,I hung a picture on the wall.,友達に電話をかけます。,I call my friend.
書く,kaku,to write,手紙を書きます。,I write a letter.,日記を毎日書きます。,I write in my diary every day.
借りる,kariru,to borrow,図書館で本を借ります。,I borrow books from the library.,友達からお金を借りました。,I borrowed money from my friend.
貸す,kasu,to lend,友達にお金を貸します。,I lend money to my friend.,傘を貸してください。,Please lend me an umbrella.
買う,kau,to buy,本を買います。,I buy a book.,スーパーで食べ物を買いました。,I bought food at the supermarket.
結婚する,kekkon suru,to marry,来年結婚します。,I'm getting married next year.,友達が先月結婚しました。,My friend got married last month.
消す,kesu,to turn off; to erase,電気を消してください。,Please turn off the lights.,間違いを消しゴムで消します。,I erase the mistake with an eraser.
消える,kieru,to disappear,雲が消えました。,The clouds disappeared.,痛みが消えました。,The pain disappeared.
聞く,kiku,to listen; to ask,音楽を聞きます。,I listen to music.,先生に質問を聞きます。,I ask the teacher a question.
切る,kiru,to cut,紙をはさみで切ります。,I cut paper with scissors.,髪を切りました。,I got my hair cut.
着る,kiru,to wear,新しい服を着ます。,I wear new clothes.,今日は暖かい服を着てください。,Please wear warm clothes today.
困る,komaru,to be troubled,お金がなくて困ります。,I'm troubled because I have no money.,雨で困りました。,I was troubled by the rain.
答える,kotaeru,to answer,質問に答えます。,I answer the question.,電話に答えてください。,Please answer the phone.
来る,kuru,to come,友達が来ます。,My friend is coming.,春が来ました。,Spring has come.
曲がる,magaru,to turn; to bend,角を右に曲がってください。,Please turn right at the corner.,道が左に曲がっています。,The road curves to the left.
待つ,matsu,to wait,バス停で待ちます。,I wait at the bus stop.,友達を待っています。,I'm waiting for my friend.
磨く,migaku,to polish; to brush,歯を磨きます。,I brush my teeth.,車をきれいに磨きました。,I polished the car cleanly.
見る,miru,to see,テレビを見ます。,I watch TV.,映画を見に行きましょう。,Let's go see a movie.
見せる,miseru,to show,写真を見せます。,I show photos.,パスポートを見せてください。,Please show me your passport.
持つ,motsu,to hold; to carry,重い荷物を持ちます。,I carry heavy luggage.,赤ちゃんを持っています。,I'm holding the baby.
鳴く,naku,to sing (birds/animals),鳥が鳴いています。,The bird is singing.,猫が外で鳴いています。,The cat is meowing outside.
無くす,nakusu,to lose,鍵を無くしました。,I lost my keys.,大切な写真を無くしてしまいました。,I lost an important photo.
並べる,naraberu,to arrange,本を棚に並べます。,I arrange books on the shelf.,椅子をきれいに並べてください。,Please arrange the chairs neatly.
並ぶ,narabu,to line up,学生が一列に並んでいます。,Students are lining up in a row.,レジに並んで待ちます。,I wait in line at the register.
習う,narau,to learn,日本語を習います。,I learn Japanese.,子供の時にピアノを習いました。,I learned piano when I was a child.
なる,naru,to become,医者になりたいです。,I want to become a doctor.,暖かくなりました。,It became warm.
寝る,neru,to sleep,十一時に寝ます。,I sleep at eleven o'clock.,よく寝ましたか。,Did you sleep well?
登る,noboru,to climb,山に登ります。,I climb the mountain.,階段を登って二階に行きます。,I climb the stairs to go to the second floor.
飲む,nomu,to drink,水を飲みます。,I drink water.,コーヒーを飲みませんか。,Would you like to drink coffee?
乗る,noru,to ride; to get on,電車に乗ります。,I get on the train.,自転車に乗れます。,I can ride a bicycle.
脱ぐ,nugu,to take off (clothes),靴を脱いでください。,Please take off your shoes.,コートを脱いで座りました。,I took off my coat and sat down.
覚える,oboeru,to remember,新しい言葉を覚えます。,I remember new words.,電話番号を覚えていますか。,Do you remember the phone number?
起きる,okiru,to get up,六時に起きます。,I get up at six o'clock.,今朝早く起きました。,I got up early this morning.
置く,oku,to put; to place,本を机に置きます。,I put the book on the desk.,荷物をここに置いても良いですか。,May I put my luggage here?
送る,okuru,to send,手紙を送ります。,I send a letter.,メールを送ってください。,Please send an email.
降りる,oriru,to get off; to descend,バスから降ります。,I get off the bus.,次の駅で降りてください。,Please get off at the next station.
教える,oshieru,to teach; to tell,日本語を教えます。,I teach Japanese.,道を教えてください。,Please tell me the way.
押す,osu,to push,ボタンを押してください。,Please push the button.,ドアを押して開けます。,I push the door to open it.
終わる,owaru,to finish,授業が終わりました。,Class finished.,仕事が終わったら帰ります。,I'll go home when work finishes.
泳ぐ,oyogu,to swim,プールで泳ぎます。,I swim in the pool.,海で泳ぎたいです。,I want to swim in the ocean.
練習する,renshuu suru,to practice,ピアノを練習します。,I practice piano.,毎日日本語を練習しています。,I practice Japanese every day.
旅行する,ryokou suru,to travel,夏に旅行します。,I travel in summer.,来月京都に旅行します。,I'm traveling to Kyoto next month.
料理する,ryouri suru,to cook,晩ご飯を料理します。,I cook dinner.,母は上手に料理します。,My mother cooks well.
咲く,saku,to bloom,桜が咲きました。,The cherry blossoms bloomed.,花がきれいに咲いています。,The flowers are blooming beautifully.
作文する,sakubun suru,to write an essay,日本語で作文します。,I write an essay in Japanese.,夏休みの作文をします。,I write a summer vacation essay.
散歩する,sanpo suru,to take a walk,公園を散歩します。,I take a walk in the park.,犬と散歩しました。,I took a walk with my dog.
差す,sasu,to raise (hand/umbrella),雨なので傘を差します。,I raise an umbrella because it's raining.,太陽が差しています。,The sun is shining.
洗濯する,sentaku suru,to do laundry,毎週洗濯します。,I do laundry every week.,洗濯機で洗濯しました。,I did laundry with the washing machine.
仕事する,shigoto suru,to work,毎日八時間仕事します。,I work eight hours every day.,在宅で仕事しています。,I work from home.
閉まる,shimaru,to close (intransitive),ドアが閉まりました。,The door closed.,店が九時に閉まります。,The store closes at nine o'clock.
締める,shimeru,to tighten; to fasten,ベルトを締めます。,I fasten my belt.,ドアをしっかり締めてください。,Please fasten the door tightly.
閉める,shimeru,to close (transitive),窓を閉めます。,I close the window.,本を閉めて聞いてください。,Please close your books and listen.
死ぬ,shinu,to die,花が死んでしまいました。,The flower died.,魚が死にました。,The fish died.
知る,shiru,to know,彼の名前を知っています。,I know his name.,この歌を知っていますか。,Do you know this song?
質問する,shitsumon suru,to ask a question,先生に質問します。,I ask the teacher a question.,分からないことを質問してください。,Please ask questions about things you don't understand.
掃除する,souji suru,to clean,部屋を掃除します。,I clean the room.,毎週土曜日に掃除します。,I clean every Saturday.
住む,sumu,to live,東京に住んでいます。,I live in Tokyo.,アパートに一人で住んでいます。,I live alone in an apartment.
する,suru,to do,宿題をします。,I do homework.,買い物をしました。,I went shopping.
吸う,suu,to smoke; to inhale,タバコを吸いません。,I don't smoke cigarettes.,深く息を吸ってください。,Please take a deep breath.
座る,suwaru,to sit,椅子に座ってください。,Please sit on the chair.,ソファーに座りました。,I sat on the sofa.
食べる,taberu,to eat,昼ご飯を食べます。,I eat lunch.,美味しいケーキを食べました。,I ate delicious cake.
頼む,tanomu,to request; to ask,助けを頼みます。,I ask for help.,お願いを頼まれました。,I was asked a favor.
立つ,tatsu,to stand,みんな立ってください。,Everyone please stand up.,電車の中で立っています。,I'm standing in the train.
飛ぶ,tobu,to fly,鳥が空を飛びます。,Birds fly in the sky.,飛行機で旅行しました。,I traveled by plane.
止まる,tomaru,to stop,車が信号で止まりました。,The car stopped at the traffic light.,雨が止まりました。,The rain stopped.
止める,tomeru,to stop (something),エンジンを止めます。,I stop the engine.,時計が止まっています。,The clock has stopped.
取る,toru,to take,写真を取ります。,I take photos.,ペンを取ってください。,Please take the pen.
摂る,toru,to take (a meal/nutrients),ビタミンを摂ります。,I take vitamins.,朝食を摂りましたか。,Did you have breakfast?
疲れる,tsukareru,to get tired,仕事で疲れました。,I got tired from work.,長時間歩いて疲れています。,I'm tired from walking for a long time.
使う,tsukau,to use,コンピューターを使います。,I use a computer.,箸を使って食べます。,I eat using chopsticks.
点ける,tsukeru,to turn on,電気を点けます。,I turn on the lights.,テレビを点けてください。,Please turn on the TV.
着く,tsuku,to arrive,駅に着きました。,I arrived at the station.,何時に着く予定ですか。,What time are you scheduled to arrive?
作る,tsukuru,to make; to build,母がケーキを作りました。,Mother made a cake.,新しい家を作ります。,I'm building a new house.
勤める,tsutomeru,to work (at),銀行に勤めています。,I work at a bank.,この会社に十年勤めています。,I've worked at this company for ten years.
生まれる,umareru,to be born,去年赤ちゃんが生まれました。,A baby was born last year.,私は日本で生まれました。,I was born in Japan.
売る,uru,to sell,車を売りました。,I sold my car.,この店は本を売っています。,This store sells books.
歌う,utau,to sing,好きな歌を歌います。,I sing my favorite song.,カラオケで歌いました。,I sang at karaoke.
分かる,wakaru,to understand,意味が分かりません。,I don't understand the meaning.,よく分かりました。,I understood well.
忘れる,wasureru,to forget,宿題を忘れました。,I forgot my homework.,約束を忘れないでください。,Please don't forget the promise.
渡る,wataru,to cross,道を渡ります。,I cross the street.,橋を渡って向こう側に行きます。,I cross the bridge to go to the other side.
渡す,watasu,to hand over,本を渡します。,I hand over the book.,プレゼントを渡しました。,I handed over the present.
やる,yaru,to do; to give,犬に餌をやります。,I give food to the dog.,今から掃除をやります。,I'm going to do the cleaning now.
休む,yasumu,to rest; to be absent,今日は学校を休みます。,I'm absent from school today.,少し休んでください。,Please rest a little.
呼ぶ,yobu,to call,友達を呼びます。,I call my friend.,名前を呼ばれました。,My name was called.
読む,yomu,to read,新聞を読みます。,I read the newspaper.,この本を読んだことがありますか。,Have you ever read this book?
