Kanji,Japanese Sentence,Romaji,Meaning
雨,雨が降っています。,Ame ga futte imasu.,It is raining.
雪,雪が降りました。,Yuki ga furimashita.,It snowed.
火,火をつけます。,Hi o tsukemasu.,I will light the fire.
水,水を飲みます。,Mizu o nomimasu.,I will drink water.
土,土の色は茶色です。,Tsuchi no iro wa chairo desu.,The color of the soil/earth is brown.
風,風が強いです。,Kaze ga tsuyoi desu.,The wind is strong.
上,机の上にあります。,Tsukue no ue ni arimasu.,It is on (above) the desk.
下,いすの下にいます。,Isu no shita ni imasu.,I am under the chair.
左,左へ曲がってください。,Hidari e magatte kudasai.,Please turn left.
右,右の手。,Migi no te.,The right hand.
東,東の空。,Higashi no sora.,The east sky.
西,西の窓。,Nishi no mado.,The west window.
南,南へ行きます。,Minami e ikimasu.,I will go south.
北,北の国。,Kita no kuni.,A northern country.
外,外で遊びます。,Soto de asobimasu.,I will play outside.
前,駅の前に店があります。,Eki no mae ni mise ga arimasu.,There is a shop in front of the station.
後,後ろを見てください。,Ushiro o mite kudasai.,Please look behind.
間,間違いを探します。,Machigai o sagashimasu.,I will look for a mistake (interval/mistake).
行,どこへ行きますか。,Doko e ikimasu ka.,Where are you going?
来,毎日来ます。,Mainichi kimasu.,I come every day.
出,部屋を出ます。,Heya o demasu.,I go out of the room.
入,お風呂に入ります。,O-furo ni hairimasu.,I enter the bath.
見,映画を見ます。,Eiga o mimasu.,I watch/see a movie.
聞,音楽を聞きます。,Ongaku o kikimasu.,I listen to music.
言,「さようなら」と言います。,"""Sayōnara"" to imasu.","I say ""Goodbye."""
話,日本語で話します。,Nihongo de hanashimasu.,I speak in Japanese.
読,新聞を読みます。,Shinbun o yomimasu.,I read the newspaper.
書,手紙を書きます。,Tegami o kakimasu.,I write a letter.
食,晩ご飯を食べます。,Ban-gohan o tabemasu.,I eat dinner.
飲,コーヒーを飲みます。,Kōhī o nomimasu.,I drink coffee.
休,会社を休みます。,Kaisha o yasumimasu.,I rest (take a break) from work.
会,友達に会います。,Tomodachi ni aimasu.,I meet a friend.
思,そう思います。,Sō omoimasu.,I think so.
買,食べ物を買います。,Tabemono o kaimasu.,I buy food.
立,立ち上がります。,Tachi-agarimasu.,I stand up.
作,晩ご飯を作ります。,Ban-gohan o tsukurimasu.,I make dinner.
開,ドアを開けてください。,Doa o akete kudasai.,Please open the door.
閉,窓を閉めます。,Mado o shimemasu.,I close the window.
使,この辞書を使います。,Kono jisho o tsukaimasu.,I use this dictionary.
帰,うちに帰ります。,Uchi ni kaerimasu.,I return home.
午,午前十時。,Gozen jūji.,Ten o'clock in the morning (A.M.).
前,(See section 5 for 前 example),,
後,(See section 5 for 後 example),,
今,今何時ですか。,Ima nanji desu ka.,"Now, what time is it?"
朝,今朝、早く起きました。,"Kesa, hayaku okimashita.",I woke up early this morning.
夜,夜は寒いです。,Yoru wa samui desu.,It is cold at night.
夕,夕ご飯を食べます。,Yū-gohan o tabemasu.,I eat evening (dinner) meal.
明,明るい部屋。,Akarui heya.,A bright room.
早,早く来ました。,Hayaku kimashita.,I came early.
毎,毎日勉強します。,Mainichi benkyō shimasu.,I study every day.
白,白いシャツ。,Shiroi shatsu.,A white shirt.
黒,黒い靴。,Kuroi kutsu.,Black shoes.
赤,赤いりんご。,Akai ringo.,A red apple.
青,青い空。,Aoi sora.,The blue sky.
新,新しい車。,Atarashii kuruma.,A new car.
長,長い髪。,Nagai kami.,Long hair.
高,高いビル。,Takai biru.,A tall/expensive building.
安,この店は安いです。,Kono mise wa yasui desu.,This store is cheap.
多,多い人。,Ōi hito.,Many people.
少,お金が少ないです。,Okane ga sukunai desu.,I have little money.
車,車で来ました。,Kuruma de kimashita.,I came by car.
電,電車に乗ります。,Densha ni norimasu.,I ride the train (electric vehicle).
駅,駅まで歩きます。,Eki made arukimasu.,I walk to the station.
国,どの国から来ましたか。,Dono kuni kara kimashita ka.,Which country are you from?
家,家に帰ります。,Ie ni kaerimasu.,I return home (house).
道,道が広いです。,Michi ga hiroi desu.,The road is wide.
店,あの店で買いました。,Ano mise de kaimashita.,I bought it at that shop.
社,銀行は会社です。,Ginkō wa kai sha desu.,The bank is a company.
手,手を洗います。,Te o araimasu.,I wash my hand.
足,足が痛いです。,Ashi ga itai desu.,My foot/leg hurts.
力,力が強い。,Chikara ga tsuyoi.,The strength/power is strong.
匂,いい匂いがします。,Ii nioi ga shimasu.,It smells good (scent).
