Japanese sentence,Romaji,Meaning,section,chapter
開,あける,to open,N4,1
教,おしえる,to teach,N4,1
近,ちかい,near,N4,1
以,い,prefix for limits,N4,1
問,とう,question,N4,1
正,ただしい,correct,N4,1
真,ま,truth/pure,N4,1
味,あじ,taste,N4,1
界,かい,world/boundary,N4,1
無,ない,nothing,N4,1
少,すくない,few/little,N4,1
海,うみ,sea,N4,1
切,きる,to cut,N4,1
重,おもい,heavy,N4,1
集,あつまる,to gather,N4,1
員,いん,member,N4,1
公,こう,public,N4,1
画,が,picture/stroke,N4,1
死,しぬ,to die,N4,1
安,やすい,cheap/peaceful,N4,1
親,おや,parent/close,N4,1
強,つよい,strong,N4,1
使,つかう,to use,N4,1
朝,あさ,morning,N4,1
題,だい,topic,N4,1
仕,つかえる,to serve,N4,1
京,きょう,capital,N4,1
足,あし,foot/leg,N4,1
品,しな,item/goods,N4,1
着,きる,to wear/arrive,N4,1
別,わかれ,separate,N4,1
音,おと,sound,N4,1
元,もと,origin,N4,1
特,とく,special,N4,1
風,かぜ,wind/style,N4,1
夜,よる,night,N4,1
空,そら,sky,N4,1
有,ある,to exist/have,N4,1
起,おきる,to wake up,N4,1
運,はこぶ,to carry/luck,N4,1
料,りょう,fee/material,N4,1
楽,たのしい,fun/easy,N4,1
色,いろ,color,N4,1
帰,かえる,to return,N4,1
歩,あるく,to walk,N4,1
悪,わるい,bad,N4,1
広,ひろい,wide,N4,1
店,みせ,shop,N4,1
町,まち,town,N4,1
住,すむ,to live/dwell,N4,1
売,うる,to sell,N4,1
待,まつ,to wait,N4,1
古,ふるい,old,N4,1
始,はじめる,to start,N4,1
終,おわる,to end,N4,1
計,はかる,to measure,N4,1
院,いん,institution/hospital,N4,1
送,おくる,to send,N4,1
族,ぞく,tribe/family,N4,1
映,うつす,reflection/projection,N4,1
買,かう,to buy,N4,1
病,やまい,illness,N4,1
早,はやい,early,N4,1
質,しつ,quality/matter,N4,1
台,だい,stand/platform,N4,1
室,しつ,room,N4,1
可,か,possible/can,N4,1
建,たてる,to build,N4,1
転,ころぶ,to roll/turn,N4,1
医,いしゃ,doctor/medicine,N4,1
止,とまる,to stop,N4,1
字,じ,character/letter,N4,1
工,こう,construction/craft,N4,1
急,いそぐ,to hurry,N4,1
図,はか,diagram/map,N4,1
黒,くろ,black,N4,1
花,はな,flower,N4,1
英,えい,England/superb,N4,1
走,はしる,to run,N4,1
青,あお,blue,N4,1
答,こたえ,answer,N4,1
紙,かみ,paper,N4,1
歌,うた,song,N4,1
注,そそぐ,pour/note,N4,1
赤,あか,red,N4,1
春,はる,spring,N4,1
館,かん,hall/building,N4,1
旅,たび,travel,N4,1
験,ためす,test/exam,N4,1
写,うつす,to copy/photograph,N4,1
去,さる,to leave/past,N4,1
研,とぐ,to polish/research,N4,1
飲,のむ,to drink,N4,1
肉,にく,meat,N4,1
服,ふく,clothes,N4,1
銀,ぎん,silver,N4,1
茶,ちゃ,tea,N4,1
究,きわめる,research/extreme,N4,1
洋,よう,ocean/western,N4,1
兄,あに,older brother,N4,1
秋,あき,autumn,N4,1
堂,どう,hall,N4,1
週,しゅう,week,N4,1
習,ならう,to learn,N4,1
試,こころみる,to try/test,N4,1
夏,なつ,summer,N4,1
弟,おとうと,younger brother,N4,1
鳥,とり,bird,N4,1
犬,いぬ,dog,N4,1
夕,ゆう,evening,N4,1
魚,さかな,fish,N4,1
借,かりる,to borrow,N4,1
飯,めし,meal/rice,N4,1
駅,えき,station,N4,1
昼,ひる,daytime/noon,N4,1
冬,ふゆ,winter,N4,1
姉,あね,older sister,N4,1
曜,よう,day of week,N4,1
漢,かん,China/Han,N4,1
牛,うし,cow,N4,1
妹,いもうと,younger sister,N4,1
貸,かす,to lend,N4,1
勉,つとめる,exertion,N4,1
学生,がくせい,student,N5,2
日本人,にほんじん,Japanese person,N5,3
会社,かいしゃ,company,N4,2
仕事,しごと,work/job,N4,2
電話,でんわ,telephone,N5,2
電車,でんしゃ,train,N5,2
時間,じかん,time,N5,2
毎日,まいにち,every day,N5,2
名前,なまえ,name,N5,2
学校,がっこう,school,N5,2
先生,せんせい,teacher,N5,2
会話,かいわ,conversation,N4,2
自動車,じどうしゃ,automobile,N4,3
図書館,としょかん,library,N4,3
料理,りょうり,cooking,N4,2
旅行,りょこう,travel,N4,2
食事,しょくじ,meal,N4,2
注意,ちゅうい,caution,N4,2
勉強,べんきょう,study,N4,2
教室,きょうしつ,classroom,N4,2
世界,せかい,world,N4,2
病院,びょういん,hospital,N4,2
外国人,がいこくじん,foreigner,N5,3
地下鉄,ちかてつ,subway,N4,3
質問,しつもん,question,N4,2
意味,いみ,meaning,N4,2
運動,うんどう,exercise,N4,2
気分,きぶん,mood,N5,2
天気,てんき,weather,N5,2
電気,でんき,electricity,N5,2
新聞,しんぶん,newspaper,N4,2
予定,よてい,plan,N4,2
場所,ばしょ,place,N4,2
開始,かいし,start,N4,2
目的,もくてき,purpose,N4,2
兄弟,きょうだい,siblings,N4,2
姉妹,しまい,sisters,N4,2
今週,こんしゅう,this week,N4,2
来週,らいしゅう,next week,N4,2
先週,せんしゅう,last week,N4,2
毎週,まいしゅう,every week,N4,2
東京,とうきょう,Tokyo,N4,2
出口,でぐち,exit,N4,2
入口,いりぐち,entrance,N4,2
上手,じょうず,skillful,N4,2
下手,へた,unskillful,N4,2
建物,たてもの,building,N4,2
牛肉,ぎゅうにく,beef,N4,2
朝食,ちょうしょく,breakfast,N4,2
昼食,ちゅうしょく,lunch,N4,2
夕食,ゆうしょく,dinner,N4,2
時計,とけい,clock/watch,N4,2
自分,じぶん,oneself,N4,2
本屋,ほんや,bookstore,N4,2
肉屋,にくや,butcher shop,N4,2
花屋,はなや,flower shop,N4,2
魚屋,さかなや,fish shop,N4,2
店員,てんいん,shop assistant,N4,2
会員,かいいん,member,N4,2
公立,こうりつ,public institution,N4,2
安心,あんしん,relief,N4,2
安全,あんぜん,safety,N4,2
正月,しょうがつ,New Year,N5,2
去年,きょねん,last year,N5,2
大学,だいがく,university,N5,2
中学生,ちゅうがくせい,junior high student,N5,3
小学生,しょうがくせい,elementary student,N5,3
高校生,こうこうせい,high school student,N5,3
名前,なまえ,name,N5,2
右足,みぎあし,right foot,N4,2
左足,ひだりあし,left foot,N4,2
空気,くうき,air,N4,2
意見,いけん,opinion,N4,2
用意,ようい,preparation,N4,2
水道,すいどう,water supply,N4,2
作文,さくぶん,composition,N4,2
発音,はつおん,pronunciation,N4,2
文字,もじ,character/letter,N4,2
漢字,かんじ,Kanji,N4,2
地図,ちず,map,N4,2
地方,ちほう,region,N4,2
土地,とち,land,N4,2
地下,ちか,underground,N4,2
山道,やまみち,mountain road,N4,2
読書,どくしょ,reading,N5,2
見物,けんぶつ,sightseeing,N5,2
特急,とっきゅう,limited express,N4,2
急行,きゅうこう,express,N4,2
工場,こうじょう,factory,N4,2
会合,かいごう,meeting,N4,2
